date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
24 Jul-2023,2023,Australia,surfing,M,20,no,2023-07-24 00:00:00,24 Jul-2023,7,Summer
22 Jul-2023,2023,Australia,snorkeling,M,77,no,2023-07-22 00:00:00,22 Jul-2023,7,Summer
21 Jul-2023,2023,USA,boogie boarding,M,60,no,2023-07-21 00:00:00,21 Jul-2023,7,Summer
14 Jul-2023,2023,USA,surfing,M,21,no,2023-07-14 00:00:00,14 Jul-2023,7,Summer
04 Jul-2023,2023,USA,standing,F,15,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
04 Jul-2023,2023,USA,swimming,M,49,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
04 Jul-2023,2023,USA,swimming,M,47,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
03 Jul-2023,2023,USA,surfing,M,15,no,2023-07-03 00:00:00,03 Jul-2023,7,Summer
03 Jul-2023,2023,USA,swimming,F,15,no,2023-07-03 00:00:00,03 Jul-2023,7,Summer
23-Jun-2023,2023,USA,swimming,F,2,no,2023-06-23 00:00:00,23-Jun-2023,6,Summer
23-Jun-2023,2023,USA,fishing,M,15,no,2023-06-23 00:00:00,23-Jun-2023,6,Summer
08-Jun 2023,2023,Egypt,swimming,M,24,yes,2023-06-08 00:00:00,08-Jun 2023,6,Summer
07-Jun-2023,2023,Bahamas,diving,F,73,unknown,2023-06-07 00:00:00,07-Jun-2023,6,Summer
28-May 2023,2023,French Polynesia,surfing,F,25,no,2023-05-28 00:00:00,28-May 2023,5,Spring
28-May 2023,2023,New Caledonia,fishing,M,42,yes,2023-05-28 00:00:00,28-May 2023,5,Spring
21-May 2023,2023,USA,surfing,F,15,no,2023-05-21 00:00:00,21-May 2023,5,Spring
19 -May 2023,2023,USA,fishing,M,35,no,2023-05-19 00:00:00,19 -May 2023,5,Spring
18-May-2023,2023,USA,fishing,M,20,no,2023-05-18 00:00:00,18-May-2023,5,Spring
14-May-2023,2023,USA,swimming,F,24,no,2023-05-14 00:00:00,14-May-2023,5,Spring
13-May-2023,2023,Australia,surfing,M,46,yes,2023-05-13 00:00:00,13-May-2023,5,Spring
11-May-2023,2023,USA,fishing,M,15,no,2023-05-11 00:00:00,11-May-2023,5,Spring
05-May-2023,2023,USA,fishing,M,22,no,2023-05-05 00:00:00,05-May-2023,5,Spring
03-May-2023,2023,South Africa,surfing,M,50,no,2023-05-03 00:00:00,03-May-2023,5,Spring
01-May-2023,2023,South Africa,diving,M,39,no,2023-05-01 00:00:00,01-May-2023,5,Spring
29-Apr-2023,2023,Australia,swimming,M,15,no,2023-04-29 00:00:00,29-Apr-2023,4,Spring
29-Apr-2023,2023,Australia,snorkeling,M,11,no,2023-04-29 00:00:00,29-Apr-2023,4,Spring
23-Apr-2023,2023,USA,fishing,M,15,no,2023-04-23 00:00:00,23-Apr-2023,4,Spring
22-Apr-2023,2023,Australia,surfing,M,30,no,2023-04-22 00:00:00,22-Apr-2023,4,Spring
11-Apr-2023,2023,USA,surfing,F,50,no,2023-04-11 00:00:00,11-Apr-2023,4,Spring
09-Apr-2023,2023,USA,fishing,M,15,no,2023-04-09 00:00:00,09-Apr-2023,4,Spring
09-Apr-2023,2023,USA,surfing,M,58,no,2023-04-09 00:00:00,09-Apr-2023,4,Spring
25-Mar-2023,2023,USA,surfing,M,67,no,2023-03-25 00:00:00,25-Mar-2023,3,Spring
22-Mar-2023,2023,Australia,wading,M,30,no,2023-03-22 00:00:00,22-Mar-2023,3,Spring
19-Mar-2023,2023,USA,swimming,M,60,no,2023-03-19 00:00:00,19-Mar-2023,3,Spring
17-Mar-2023,2023,Mexico,swimming,M,10,no,2023-03-17 00:00:00,17-Mar-2023,3,Spring
06-Mar-2023,2023,Brazil,swimming,F,15,no,2023-03-06 00:00:00,06-Mar-2023,3,Spring
05-Mar-2023,2023,Brazil,swimming,M,14,no,2023-03-05 00:00:00,05-Mar-2023,3,Spring
21-Feb-2023,2023,Brazil,surfing,M,32,no,2023-02-21 00:00:00,21-Feb-2023,2,Winter
19-Feb-2023,2023,New Caledonia,swimming,M,59,unknown,2023-02-19 00:00:00,19-Feb-2023,2,Winter
19-Feb-2023,2023,USA,surfing,M,60,no,2023-02-19 00:00:00,19-Feb-2023,2,Winter
04-Feb-2023,2023,Australia,swimming,F,16,yes,2023-02-04 00:00:00,04-Feb-2023,2,Winter
30-Jan-2023,2023,Australia,fishing,M,8,no,2023-01-30 00:00:00,30-Jan-2023,1,Winter
05-Jan-2023,2023,Mexico,diving,M,53,yes,2023-01-05 00:00:00,05-Jan-2023,1,Winter
30-Dec-2022,2022,South Africa,diving,M,26,no,2022-12-30 00:00:00,30-Dec-2022,12,Winter
13-Dec-2022,2022,USA,swimming,M,68,no,2022-12-13 00:00:00,13-Dec-2022,12,Winter
11 Dec-2022,2022,Australia,swimming,M,15,no,2022-12-11 00:00:00,11 Dec-2022,12,Winter
09-Dec-2022,2022,USA,diving,M,43,no,2022-12-09 00:00:00,09-Dec-2022,12,Winter
08-Dec-2022,2022,USA,snorkeling,F,60,yes,2022-12-08 00:00:00,08-Dec-2022,12,Winter
07-Dec-2022,2022,USA,surfing,M,15,no,2022-12-07 00:00:00,07-Dec-2022,12,Winter
27-Nov-2022,2022,USA,swimming,F,10,no,2022-11-27 00:00:00,27-Nov-2022,11,Autumn
04-Nov-2022,2022,USA,swimming,F,50,no,2022-11-04 00:00:00,04-Nov-2022,11,Autumn
03-Nov-2022,2022,USA,fishing,M,29,no,2022-11-03 00:00:00,03-Nov-2022,11,Autumn
31-Oct-2022,2022,USA,surfing,M,15,no,2022-10-31 00:00:00,31-Oct-2022,10,Autumn
28-Oct-2022,2022,USA,fishing,M,40,no,2022-10-28 00:00:00,28-Oct-2022,10,Autumn
28-Oct-2022,2022,Bahamas,diving,M,15,no,2022-10-28 00:00:00,28-Oct-2022,10,Autumn
27-Oct-2022,2022,USA,fishing,M,15,no,2022-10-27 00:00:00,27-Oct-2022,10,Autumn
25 Oct-2022,2022,USA,snorkeling,M,51,no,2022-10-25 00:00:00,25 Oct-2022,10,Autumn
10-Oct-2022,2022,USA,fishing,M,15,no,2022-10-10 00:00:00,10-Oct-2022,10,Autumn
07-Oct-2022,2022,Australia,fishing,M,38,no,2022-10-07 00:00:00,07-Oct-2022,10,Autumn
06-Oct-2022,2022,Australia,surfing,M,17,no,2022-10-06 00:00:00,06-Oct-2022,10,Autumn
02-Oct-2022,2022,USA,surfing,M,31,no,2022-10-02 00:00:00,02-Oct-2022,10,Autumn
25-Sep-2022,2022,South Africa,swimming,F,39,yes,2022-09-25 00:00:00,25-Sep-2022,9,Autumn
22-Sep-2022,2022,USA,fishing,M,26,no,2022-09-22 00:00:00,22-Sep-2022,9,Autumn
06-Sep-2022,2022,Bahamas,snorkeling,F,58,yes,2022-09-06 00:00:00,06-Sep-2022,9,Autumn
03-Sep-2022,2022,USA,swimming,F,51,no,2022-09-03 00:00:00,03-Sep-2022,9,Autumn
31-Aug-2022,2022,Australia,surfing,M,14,no,2022-08-31 00:00:00,31-Aug-2022,8,Summer
17-Aug-2022,2022,Australia,kayaking,M,15,no,2022-08-17 00:00:00,17-Aug-2022,8,Summer
15-Aug-2022,2022,USA,swimming,F,15,no,2022-08-15 00:00:00,15-Aug-2022,8,Summer
15-Aug-2022,2022,USA,standing,F,15,no,2022-08-15 00:00:00,15-Aug-2022,8,Summer
15-Aug-2022,2022,Australia,fishing,M,17,no,2022-08-15 00:00:00,15-Aug-2022,8,Summer
